Latitude,Longitude,Area_Name,Crime_Count,Street_Light,CCTV,Police_Patrol,Isolation_Level,Time_Period
10.526596,76.218006,Round,14,Poor,No,Rare,High,Morning
10.524848,76.211648,Round,16,Moderate,Yes,Rare,Medium,Morning
10.524065,76.217329,Round,16,Poor,No,Occasional,High,Morning
10.523765,76.218159,Round,14,Moderate,No,Rare,High,Night
10.53026,76.212099,Round,12,Poor,Yes,Frequent,Medium,Night
10.526034,76.214598,Round,12,Poor,No,Rare,Medium,Morning
10.527056,76.21273,Round,11,Moderate,No,Frequent,Medium,Morning
10.525937,76.213331,Round,14,Moderate,No,Occasional,High,Evening
10.527249,76.216681,Round,13,Poor,Yes,Rare,Low,Morning
10.528339,76.210772,Round,10,Moderate,No,Rare,High,Afternoon
10.52846,76.211764,Round,12,Poor,Yes,Rare,High,Afternoon
10.529074,76.213921,Round,12,Moderate,Yes,Occasional,Medium,Morning
10.524576,76.214361,Round,14,Poor,No,Occasional,Medium,Night
10.526094,76.214561,Round,11,Moderate,No,Rare,Low,Evening
10.527974,76.211879,Round,14,Poor,Yes,Frequent,High,Evening
10.524308,76.211968,Round,13,Poor,No,Frequent,High,Evening
10.523962,76.213003,Round,10,Poor,No,Rare,Medium,Afternoon
10.53023,76.213254,Round,12,Good,No,Rare,High,Night
10.525847,76.214742,Round,14,Poor,Yes,Rare,High,Night
10.524196,76.218295,Round,12,Moderate,No,Occasional,High,Night
10.529778,76.21199,Round,15,Good,No,Rare,High,Evening
10.52977,76.210992,Round,15,Moderate,No,Rare,Medium,Evening
10.526468,76.211327,Round,14,Good,No,Rare,High,Morning
10.526247,76.210908,Round,15,Poor,Yes,Occasional,High,Afternoon
10.526088,76.213001,Round,14,Poor,No,Rare,High,Afternoon
10.530698,76.214178,Round,15,Moderate,No,Rare,Medium,Morning
10.524557,76.216106,Round,14,Poor,No,Rare,Low,Evening
10.529768,76.21435,Round,16,Moderate,No,Rare,Low,Night
10.527782,76.21382,Round,13,Good,Yes,Rare,High,Night
10.526115,76.214469,Round,12,Good,No,Occasional,High,Afternoon
10.530861,76.212394,Round,16,Good,No,Rare,High,Night
10.52543,76.211016,Round,12,Poor,Yes,Rare,High,Morning
10.525918,76.21169,Round,15,Poor,No,Rare,Low,Afternoon
10.530029,76.211893,Round,14,Moderate,Yes,Rare,High,Morning
10.53074,76.214715,Round,12,Poor,No,Frequent,High,Afternoon
10.525423,76.213817,Round,12,Moderate,No,Rare,Low,Afternoon
10.530144,76.217286,Round,13,Poor,No,Occasional,Low,Night
10.526939,76.212177,Round,13,Poor,No,Occasional,Low,Morning
10.524559,76.213101,Round,13,Poor,No,Rare,Medium,Afternoon
10.52775,76.216024,Round,14,Good,Yes,Occasional,High,Afternoon
10.526509,76.218174,Round,10,Poor,No,Occasional,High,Morning
10.525879,76.210695,Round,13,Poor,No,Rare,Medium,Afternoon
10.528477,76.214421,Round,13,Poor,Yes,Rare,High,Morning
10.524759,76.214316,Round,14,Poor,No,Occasional,High,Night
10.531485,76.212336,Round,15,Poor,No,Frequent,High,Night
10.525501,76.216226,Round,14,Moderate,Yes,Rare,High,Morning
10.526542,76.215458,Round,14,Poor,No,Occasional,Low,Afternoon
